time (s),gx (dps),gy (dps),gz (dps),ax (g),ay (g),az (g),lat, long, alt (m),temp (C)
5.517186164855957,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
6.017812490463257,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
6.518357038497925,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
7.0188844203948975,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
7.519479513168335,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
8.020061492919922,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
8.520594835281372,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
9.021202564239502,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
time (s),gx (dps),gy (dps),gz (dps),ax (g),ay (g),az (g),lat, long, alt (m),temp (C)
0.035537004470825195,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.04605746269226074,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.05656266212463379,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.06715869903564453,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.07768416404724121,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.08824276924133301,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0990138053894043,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.11009716987609863,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.12094712257385254,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.1315009593963623,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.14267992973327637,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.1531054973602295,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.16350603103637695,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.17396211624145508,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.18440628051757812,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.19486546516418457,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.2053086757659912,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.21576714515686035,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.2261981964111328,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.2364974021911621,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.24692320823669434,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.25739479064941406,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.2680063247680664,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.27847814559936523,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.288921594619751,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.2993597984313965,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.31001734733581543,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.32032155990600586,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.33094167709350586,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.3413815498352051,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.3518095016479492,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.3622407913208008,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.37268805503845215,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.3829967975616455,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.39345598220825195,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
